order_id,products
2774568,17668 21903 39190 47766 18599 43961 23650
1528013,21903
1376945,33572 27959 14947 8309 13176
1356845,14992 7076 28134 10863 13176
2161313,196 10441 12427 14715
1416320,5134 21903 21137 24852 17948
1735923,17008 35123 34690
1980631,13575 6184 9387 46061 13914 41400 22362
139655,22935 27845
2940603,19894
1192143,47626 24852
280888,32566
3202221,49215 21137 4793 45774 17630 24852 45364 13629 11130 9637 21927 6069 39911
3222866,37131 32912 7969 33198 8501 32441 35921 14947 15718
707453,45066 42585 48230 21137 694 18150 24852 32030 7969 4942 39275 21903 28156
1320132,22328
882556,28289 42768 24852 25890 48679 28204 46906 41149 5450 7371 8424 30962 9076 5373
2431024,22035 17044 27555 34217 39928 6975 5699 5450 24799 29926 13176
2827745,17924
2174416,40604 10017 36929 15712 18798 13176
1325316,26165
320326,24852 42828 45646
1099519,22035 28058 26351 13176
144494,16959 14947 46260 39108
3024191,27521 30233 18362 42450
2817181,18828 41618 28058 22559 19677 1377 47867
2883656,24852
1970262,12872 48364 21267 24964 29071 21903 22451 4562 27105
2681168,11777 47167 22151 34993 20169 40198 37131 25890 46886 36735 4605
1345233,21137 40146 13176 1695
2412507,5258
139487,21386 6184 196
3302990,24852 38689 27344 21616
1189294,21137 26317 5479 13176 25527
1368861,1940 23334 14335 5445 6884
1626588,14365 31808
36863,27521 34050 24964 21137 32177 27086 45007 17872 5479 13176 10749
969538,31263 38461 41651 13643 8030 30120
688716,3721 5077 47209 13176
1058680,32768 2563 44570 12339 44106 23665 4210 30356 37113 41273 43872 47006 470 16890
831748,5782 44142 40174 5750
2710859,24852 47766
1500625,1674 40332 8769 26700 29646 40531 32096 36086 34300
726111,47766 12756 44632 13176
2567075,6692 24129 12381 12896 35951 1695 32478 31481 37646 30489 18727 9124 34217
1855063,27845 27966 17794 32655 3988
2588536,21137 26790 2825 24852 33572 47521 49111 5612
1658650,47626 21616 19057 28289 47766 40706 38159 24852 44359 1890 44910 21903 45007 19934 5612 39928
36740,13841 27726 29805 10374 26312 7393 36126 25976 35199 25495 2010 20463
2675738,39685 5031 37543 46226 46551
3052059,9421
2943466,5258 11790 21137 24852 38313 14947 3957
3400496,46906 41806
1920100,34458 22582 30391 2748 49235 47209 46969
2993890,26648
1172828,23909
2691733,41658 47990
2769561,18434 9224 42585 47209 42699 21227 40706 13176 22963 38383
2029462,17794 19348 38453 11090 8424
1817659,28934 26128 2962 35121 25659 25666
470997,38311 28465 7515
569815,23296 42372 27275 24852 15902 4920 12218 100
2517930,49683 27156 20119 6341 24852 5428
2378064,7681 13062 6287 49683 45603 19894 30776 20794 28398 28535
169451,13176
2986791,15386 13870 20580 47717 17526 13176 17794 21914 16321
1239084,10768 5141 49235 49236 6760 12469 30391 23233 33527 24852 27454 45374 44359 17758 13166 16759 13176 32655 22935 21936 31215
3191854,49191 4809 40174 41806 19057
1132910,30233 38948 4138 28204 27744 47766 1194 1217 21704 42701 23265 28906 42750 24852 41255 28476 41290 27086 17872 37330
2088686,5380 27531 29837 26128 42265 30489 9390 39877 46802 5479 40311 39928 3583
3358588,19348 22959 27730 4210
1283403,47209 35951 21137 3835 24830 44359 13176 38383
2098786,13447 29344 19660 26324 8929
795256,8193 9839 10385 8859 48364 23288 30489 3376 28985 18234 22418 45007 6649
2399184,12315 28199 77 49235 12919 47229 21137 10385 4781 27845 26317 24830 33043 24852 4920 31040 19819 40310 38275 32139 9122 43961 11710 18370 27086 22993 23516 36316 48112
862070,24852 17352 5612
313331,12341 24852 19660 5479
3241020,21709 47087
1549872,5468
1653971,33198 15424 3318
3161938,49227
2318705,20995 21616 21137 47766 30391 27881 35140 8518 21903
